iter	Logloss
0	0.6350249316
1	0.5888375173
2	0.5506993522
3	0.5175278122
4	0.4882349118
5	0.4653694169
6	0.4456032852
7	0.4285645878
8	0.4148856255
9	0.4023142694
10	0.3915873876
11	0.3830947545
12	0.3762902356
13	0.3688672745
14	0.3625474096
15	0.3571924507
16	0.3521906596
17	0.3481704901
18	0.3441722932
19	0.340792582
20	0.3376495454
21	0.3350567404
22	0.3325552346
23	0.3305996763
24	0.3287166375
25	0.3270694915
26	0.3252308973
27	0.3236478469
28	0.3224386779
29	0.3211603907
30	0.3198825245
31	0.3187040764
32	0.3177297334
33	0.3167316692
34	0.31596697
35	0.3152951736
36	0.3145680153
37	0.3138638732
38	0.3129979653
39	0.3124007585
40	0.311872343
41	0.3114266627
42	0.3109697134
43	0.3105312081
44	0.3101812245
45	0.3098150297
46	0.3094691591
47	0.3089512777
48	0.3085326307
49	0.3082627561
50	0.3080313873
51	0.3077818
52	0.3075508492
53	0.3073080132
54	0.3069907421
55	0.306742104
56	0.3065613342
57	0.3064164557
58	0.3062477405
59	0.3061189599
60	0.3059638788
61	0.3058392152
62	0.3055983735
63	0.3054934445
64	0.3053811833
65	0.3051636658
66	0.3049729149
67	0.3048680234
68	0.3047016635
69	0.3046196703
70	0.3044721162
71	0.3043733657
72	0.3042859274
73	0.3041573373
74	0.3040326759
75	0.3039365068
76	0.3038537222
77	0.3037845258
78	0.3037250859
79	0.3036144087
80	0.3035490451
81	0.3034653264
82	0.3033703671
83	0.3033075336
84	0.3032572091
85	0.3031941287
86	0.30311312
87	0.3030517727
88	0.3030040027
89	0.3029227397
90	0.3028600308
91	0.3027923845
92	0.302752814
93	0.3026801818
94	0.3026140335
95	0.3025881046
96	0.3025541526
97	0.3024849666
98	0.302447745
99	0.3024012299
100	0.3023469351
101	0.3023002674
102	0.3022495809
103	0.3022110319
104	0.3021578673
105	0.3021203707
106	0.302070026
107	0.3020437902
108	0.3020200704
109	0.3019920977
110	0.3019514125
111	0.3019056566
112	0.3018732117
113	0.3018498529
114	0.3018146595
115	0.3017743648
116	0.3017501917
117	0.3017277748
118	0.3016963758
119	0.3016697225
120	0.3016369471
121	0.3015949045
122	0.3015713324
123	0.301550217
124	0.3015151669
125	0.3014836961
126	0.3014525588
127	0.3014186072
128	0.3013850858
129	0.3013556141
130	0.3013383373
131	0.3013129404
132	0.3012956159
133	0.301273828
134	0.3012581076
135	0.301220442
136	0.3011895404
137	0.3011752969
138	0.3011405358
139	0.30111247
140	0.3010809804
141	0.3010379212
142	0.3010161459
143	0.3009969539
144	0.3009746294
145	0.3009504366
146	0.3009112639
147	0.3008984038
148	0.3008651804
149	0.3008509746
150	0.3008258378
151	0.3008069721
152	0.3007829861
153	0.300762031
154	0.3007379197
155	0.3007246032
156	0.3006992588
157	0.3006726753
158	0.3006579816
159	0.3006470331
160	0.3006170198
161	0.3005894735
162	0.3005720973
163	0.3005593289
164	0.3005443781
165	0.3005135533
166	0.3004868143
167	0.3004722586
168	0.3004495157
169	0.300438032
170	0.3004213929
171	0.3004077109
172	0.3003854987
173	0.3003695866
174	0.3003505913
175	0.300333371
176	0.3003135411
177	0.300300252
178	0.3002693066
179	0.3002525156
180	0.3002451943
181	0.3002262295
182	0.300214462
183	0.3002035289
184	0.3001860118
185	0.3001656244
186	0.3001408897
187	0.3001192778
188	0.300091401
189	0.3000741077
190	0.3000611528
191	0.3000500199
192	0.3000232534
193	0.3000076388
194	0.2999782931
195	0.2999684144
196	0.2999476058
197	0.2999144357
198	0.2998918073
199	0.2998779827
200	0.299865901
201	0.2998360956
202	0.2998184066
203	0.2998057199
204	0.2997952955
205	0.2997823146
206	0.299755551
207	0.2997375103
208	0.2997101639
209	0.2996946293
210	0.2996843395
211	0.2996551848
212	0.2996436711
213	0.2996263862
214	0.2996157023
215	0.2995985566
216	0.2995769929
217	0.2995634807
218	0.2995485681
219	0.2995158263
220	0.2994977251
221	0.2994847247
222	0.2994750757
223	0.2994652949
224	0.2994465007
225	0.2994235494
226	0.2993971133
227	0.2993837039
228	0.2993715674
229	0.2993603727
230	0.2993519895
231	0.2993326459
232	0.299312296
233	0.2992908674
234	0.299274186
235	0.2992633802
236	0.299252472
237	0.2992273232
238	0.2992126679
239	0.2992015107
240	0.2991750861
241	0.2991493403
242	0.2991342481
243	0.2991128838
244	0.299104062
245	0.29909266
246	0.2990721969
247	0.2990605215
248	0.2990456001
249	0.2990316944
250	0.2990126052
251	0.298995114
252	0.2989876402
253	0.2989679949
254	0.2989614113
255	0.2989502889
256	0.2989340717
257	0.2989216418
258	0.2989058514
259	0.2988927944
260	0.2988695595
261	0.2988440429
262	0.2988341838
263	0.29882126
264	0.2988000987
265	0.2987806623
266	0.2987733091
267	0.2987593507
268	0.2987381382
269	0.2987215954
270	0.2987037183
271	0.2986830851
272	0.2986594449
273	0.2986457318
274	0.2986277184
275	0.2986069398
276	0.2985958868
277	0.2985811681
278	0.2985615171
279	0.2985501671
280	0.2985398277
281	0.2985291431
282	0.2985186039
283	0.2985017366
284	0.2984821708
285	0.2984716825
286	0.2984591829
287	0.2984479289
288	0.2984279237
289	0.298414045
290	0.2984024728
291	0.2983832639
292	0.2983755343
293	0.2983520787
294	0.2983426448
295	0.2983259346
296	0.2983067509
297	0.2982964169
298	0.2982760734
299	0.298256602
300	0.2982430313
301	0.2982296639
302	0.2982134798
303	0.2982002742
304	0.2981843213
305	0.2981684465
306	0.2981544431
307	0.2981334573
308	0.2981216965
309	0.2981115765
310	0.298092342
311	0.2980788148
