iter	Passed	Remaining
0	34	27514
1	69	27680
2	102	27157
3	136	27182
4	171	27198
5	204	27118
6	238	27048
7	272	26936
8	305	26843
9	338	26780
10	374	26832
11	406	26708
12	439	26605
13	476	26747
14	511	26790
15	547	26811
16	581	26779
17	617	26840
18	650	26726
19	681	26589
20	716	26590
21	753	26639
22	785	26537
23	820	26522
24	857	26574
25	892	26576
26	926	26527
27	959	26456
28	996	26492
29	1032	26491
30	1066	26451
31	1098	26363
32	1132	26316
33	1164	26228
34	1199	26228
35	1236	26238
36	1269	26184
37	1305	26185
38	1339	26140
39	1375	26127
40	1410	26111
41	1443	26053
42	1475	25981
43	1506	25889
44	1539	25831
45	1571	25756
46	1604	25710
47	1642	25729
48	1676	25689
49	1710	25657
50	1744	25622
51	1778	25589
52	1811	25527
53	1846	25512
54	1879	25455
55	1915	25445
56	1948	25404
57	1983	25372
58	2017	25342
59	2051	25301
60	2085	25262
61	2117	25210
62	2151	25164
63	2184	25121
64	2215	25055
65	2248	25010
66	2280	24947
67	2314	24914
68	2346	24856
69	2380	24824
70	2415	24804
71	2451	24790
72	2483	24737
73	2519	24716
74	2550	24651
75	2585	24626
76	2619	24593
77	2653	24559
78	2684	24503
79	2716	24450
80	2749	24406
81	2782	24366
82	2818	24350
83	2852	24317
84	2887	24287
85	2919	24241
86	2952	24199
87	2987	24169
88	3022	24144
89	3056	24113
90	3087	24056
91	3120	24014
92	3155	23989
93	3190	23962
94	3225	23935
95	3260	23910
96	3292	23859
97	3325	23818
98	3359	23786
99	3391	23741
100	3424	23702
101	3458	23668
102	3491	23627
103	3521	23570
104	3555	23533
105	3588	23497
106	3626	23484
107	3659	23448
108	3694	23419
109	3730	23398
110	3765	23370
111	3800	23345
112	3832	23302
113	3867	23275
114	3901	23240
115	3936	23210
116	3970	23176
117	4003	23141
118	4037	23105
119	4070	23068
120	4105	23039
121	4140	23008
122	4176	22987
123	4210	22955
124	4243	22914
125	4280	22897
126	4322	22908
127	4355	22866
128	4390	22839
129	4426	22810
130	4462	22789
131	4495	22750
132	4530	22721
133	4566	22696
134	4603	22675
135	4640	22656
136	4676	22633
137	4713	22609
138	4749	22583
139	4785	22558
140	4822	22537
141	4859	22517
142	4894	22487
143	4930	22463
144	4966	22434
145	4998	22391
146	5031	22351
147	5065	22316
148	5102	22292
149	5135	22254
150	5166	22207
151	5200	22170
152	5237	22149
153	5270	22106
154	5305	22078
155	5339	22044
156	5374	22012
157	5407	21971
158	5442	21941
159	5476	21907
160	5514	21887
161	5548	21851
162	5585	21826
163	5621	21801
164	5658	21777
165	5694	21749
166	5731	21725
167	5766	21693
168	5800	21658
169	5833	21618
170	5868	21585
171	5901	21548
172	5936	21516
173	5970	21478
174	6006	21451
175	6040	21417
176	6074	21381
177	6108	21346
178	6141	21305
179	6176	21275
180	6211	21241
181	6245	21207
182	6278	21167
183	6311	21130
184	6345	21095
185	6379	21058
186	6412	21021
187	6442	20973
188	6475	20935
189	6511	20906
190	6543	20864
191	6578	20831
192	6620	20821
193	6656	20794
194	6694	20771
195	6733	20751
196	6767	20714
197	6805	20691
198	6846	20676
199	6883	20649
200	6921	20626
201	6960	20605
202	6999	20584
203	7033	20548
204	7069	20518
205	7111	20506
206	7149	20481
207	7190	20465
208	7228	20440
209	7261	20402
210	7300	20378
211	7336	20347
212	7371	20315
213	7404	20276
214	7439	20242
215	7469	20196
216	7506	20166
217	7538	20124
218	7584	20122
219	7625	20102
220	7662	20075
221	7698	20045
222	7737	20020
223	7772	19987
224	7812	19965
225	7849	19937
226	7885	19904
227	7919	19866
228	7951	19825
229	7991	19804
230	8032	19786
231	8068	19753
232	8103	19719
233	8138	19686
234	8175	19655
235	8213	19629
236	8253	19606
237	8294	19587
238	8331	19555
239	8366	19521
240	8400	19484
241	8437	19456
242	8469	19413
243	8501	19373
244	8546	19359
245	8582	19328
246	8622	19304
247	8656	19268
248	8695	19241
249	8733	19213
250	8769	19181
251	8806	19149
252	8844	19121
253	8874	19077
254	8907	19037
255	8941	19001
256	8976	18965
257	9013	18935
258	9053	18910
259	9085	18869
260	9122	18840
261	9158	18806
262	9193	18772
263	9229	18737
264	9261	18696
265	9293	18657
266	9326	18618
267	9362	18586
268	9395	18546
269	9428	18508
270	9464	18475
271	9504	18449
272	9539	18415
273	9577	18385
274	9614	18354
275	9649	18319
276	9684	18285
277	9722	18255
278	9760	18226
279	9794	18188
280	9833	18162
281	9869	18128
282	9906	18097
283	9943	18065
284	9978	18032
285	10014	17998
286	10047	17959
287	10087	17932
288	10125	17903
289	10161	17870
290	10198	17839
291	10236	17807
292	10273	17777
293	10306	17738
294	10341	17703
295	10378	17670
296	10414	17637
297	10448	17601
298	10481	17562
299	10516	17527
300	10555	17498
301	10590	17464
302	10625	17428
303	10658	17390
304	10693	17354
305	10727	17317
306	10761	17280
307	10795	17245
308	10832	17212
309	10866	17176
310	10902	17142
311	10935	17104
312	10970	17069
313	11008	17038
314	11040	16998
315	11075	16964
316	11111	16929
317	11147	16896
318	11181	16859
319	11218	16827
320	11249	16786
321	11284	16751
322	11317	16713
323	11352	16678
324	11387	16643
325	11421	16606
326	11455	16569
327	11487	16531
328	11521	16494
329	11557	16460
